URL,Last Modified,Website Origin,Year,Article Title
https://www.kevinrchant.com/2020/09/30/you-can-set-default-branch-name-for-new-repositories-in-azure-devops/,2020-09-30,www.kevinrchant.com,2020,you can set default branch name for new repositories in azure devops
https://www.kevinrchant.com/2020/10/08/what-is-new-for-the-next-dataweekender/,2020-10-11,www.kevinrchant.com,2020,what is new for the next dataweekender
https://www.kevinrchant.com/2020/10/15/dataweekenders-unique-formula/,2020-10-15,www.kevinrchant.com,2020,dataweekenders unique formula
https://www.kevinrchant.com/2020/10/19/initial-thoughts-about-second-dataweekender/,2020-10-20,www.kevinrchant.com,2020,initial thoughts about second dataweekender
https://www.kevinrchant.com/2020/10/21/deploying-to-many-versions-of-sql-server-databases-using-one-commit/,2020-10-21,www.kevinrchant.com,2020,deploying to many versions of sql server databases using one commit
https://www.kevinrchant.com/2020/11/04/sharing-personal-azure-devops-organizations-to-test-sql-server-deployments/,2020-11-04,www.kevinrchant.com,2020,sharing personal azure devops organizations to test sql server deployments
https://www.kevinrchant.com/2020/11/12/sql-server-product-owner-tips-to-make-the-most-of-microsoft-teams/,2020-11-12,www.kevinrchant.com,2020,sql server product owner tips to make the most of microsoft teams
https://www.kevinrchant.com/2020/12/08/t-sql-tuesday-133-learning-new-things-by-building-demos/,2020-12-08,www.kevinrchant.com,2020,t sql tuesday 133 learning new things by building demos
https://www.kevinrchant.com/2019/01/10/patching-sql-server-on-windows-notes-from-the-field/,2020-12-17,www.kevinrchant.com,2020,patching sql server on windows notes from the field
https://www.kevinrchant.com/2021/01/04/an-interesting-month-to-take-off/,2021-01-04,www.kevinrchant.com,2021,an interesting month to take off
https://www.kevinrchant.com/2018/11/28/fixing-some-of-the-problems-caused-when-you-introduce-columnstore-indexes/,2021-01-05,www.kevinrchant.com,2021,fixing some of the problems caused when you introduce columnstore indexes
https://www.kevinrchant.com/2018/11/27/fixing-some-of-the-problems-caused-when-you-introduce-rowstore-filtered-indexes/,2021-01-05,www.kevinrchant.com,2021,fixing some of the problems caused when you introduce rowstore filtered indexes
https://www.kevinrchant.com/2018/10/18/a-unique-review-of-sql-server-index-types/,2021-01-05,www.kevinrchant.com,2021,a unique review of sql server index types
https://www.kevinrchant.com/2018/10/16/a-quick-introduction-to-power-bi-report-server/,2021-01-05,www.kevinrchant.com,2021,a quick introduction to power bi report server
https://www.kevinrchant.com/2018/11/26/a-couple-of-things-to-watch-out-for-if-deploying-power-bi-reporting-services/,2021-01-05,www.kevinrchant.com,2021,a couple of things to watch out for if deploying power bi reporting services
